section,h,b,tw,tf,r
0,1056,314,36,64,30
1,1036,309,31,54,30
2,1026,305,26.9,49,30
3,1020,304,26,46,30
4,1015.9,303,24.4,43.9,30
5,1008,302,21.1,40,30
6,999.9,300,19.1,35.9,30
7,990.1,300,16.5,31,30
8,980.1,300,16.5,26,30
9,970.3,300,16,21.1,30
10,921,420.5,21.4,36.6,24.1
11,911.8,418.5,19.4,32,24.1
12,993,322,36.1,65,19
13,981,319,33,58.9,19
14,971,316,30,54.1,19
15,961,313,26.9,49,19
16,951,310,24.4,43.9,19
17,943,308,22.1,39.9,19
18,932,309,21.1,34.5,19
19,926.6,307.7,19.5,32,19.1
20,923,307,18.4,30,19
21,918.4,305.5,17.3,27.9,19.1
22,915,305,16.5,25.9,19
23,910.4,304.1,15.9,23.9,19.1
24,903,303.3,15.1,20.2,19.1
25,850.9,293.8,16.1,26.8,17.8
26,840.7,292.4,14.7,21.7,17.8
27,834.9,291.7,14,18.8,17.8
28,769.8,268,15.6,25.4,16.5
29,762.2,266.7,14.3,21.6,16.5
30,754,265.2,12.8,17.5,16.5
31,750,264.4,12,15.5,16.5
32,692.9,255.8,14.5,23.7,15.2
33,687.5,254.5,13.2,21,15.2
34,683.5,253.7,12.4,19,15.2
35,677.9,253,11.7,16.2,15.2
36,635.8,311.4,18.4,31.4,16.5
37,620.2,307.1,14.1,23.6,16.5
38,612.4,304.8,11.8,19.7,16.5
39,617.2,230.2,13.1,22.1,12.7
40,612.2,229,11.9,19.6,12.7
41,607.6,228.2,11.1,17.3,12.7
42,602.6,227.6,10.5,14.8,12.7
43,607.4,179.2,11.3,17.2,12.7
44,603,178.8,10.9,15,12.7
45,598.6,177.9,10,12.8,12.7
46,577.1,320.2,21.1,37.6,12.7
47,560.3,317.4,18.3,29.2,12.7
48,550.7,314.5,15.2,24.4,12.7
49,542.5,312,12.7,20.3,12.7
50,549.1,213.9,14.7,23.6,12.7
51,544.5,211.9,12.7,21.3,12.7
52,539.5,210.8,11.6,18.8,12.7
53,536.7,210,10.8,17.4,12.7
54,533.1,209.3,10.1,15.6,12.7
55,528.3,208.8,9.6,13.2,12.7
56,534.9,166.5,10.3,16.5,12.7
57,529.1,165.9,9.7,13.6,12.7
58,524.7,165.1,8.9,11.4,12.7
59,492,199.4,18,32,10.2
60,480.6,196.7,15.3,26.3,10.2
61,469.2,194,12.6,20.6,10.2
62,467.2,192.8,11.4,19.6,10.2
63,463.4,191.9,10.5,17.7,10.2
64,460,191.3,9.9,16,10.2
65,457,190.4,9,14.5,10.2
66,453.4,189.9,8.5,12.7,10.2
67,465.8,155.3,10.5,18.9,10.2
68,462,154.4,9.6,17,10.2
69,458,153.8,9,15,10.2
70,454.6,152.9,8.1,13.3,10.2
71,449.8,152.4,7.6,10.9,10.2
72,417.2,181.9,10.9,18.2,10.2
73,412.8,179.5,9.5,16,10.2
74,409.4,178.8,8.8,14.3,10.2
75,406.4,177.9,7.9,12.8,10.2
76,402.6,177.7,7.7,10.9,10.2
77,406.6,143.3,7.9,12.9,10.2
78,403.2,142.2,6.8,11.2,10.2
79,398,141.8,6.4,8.6,10.2
80,363.4,173.2,9.1,15.7,10.2
81,358,172.2,8.1,13,10.2
82,355,171.5,7.4,11.5,10.2
83,351.4,171.1,7,9.7,10.2
84,353.4,126,6.6,10.7,10.2
85,349,125.4,6,8.5,10.2
86,310.4,166.9,7.9,13.7,8.9
87,306.6,165.7,6.7,11.8,8.9
88,303.4,165,6,10.2,8.9
89,311,125.3,9,14,8.9
90,307.2,124.3,8,12.1,8.9
91,304.4,123.4,7.1,10.7,8.9
92,312.7,102.4,6.6,10.8,7.6
93,308.7,101.8,6,8.8,7.6
94,305.1,101.6,5.8,7,7.6
95,259.6,147.3,7.2,12.7,7.6
96,256,146.4,6.3,10.9,7.6
97,251.4,146.1,6,8.6,7.6
98,260.4,102.2,6.3,10,7.6
99,257.2,101.9,6,8.4,7.6
100,254,101.6,5.7,6.8,7.6
101,206.8,133.9,6.4,9.6,7.6
102,203.2,133.2,5.7,7.8,7.6
103,203.2,101.8,5.4,9.3,7.6
104,177.8,101.2,4.8,7.9,7.6
105,152.4,88.7,4.5,7.7,7.6
106,127,76,4,7.6,7.6
